Location,Year,Cage_Num,Replication,Density_NN,Density_Num,Length,Plot_Type,Core_Num,Total_Mass
NAN,2018,1_CC,One,Caged_Control,0,,Control,C1,
NAN,2018,1_CC,One,Caged_Control,0,11.5,Control,C2,6.48
NAN,2018,1_4,One,Four,4,14,Treatment,C1,14.02
NAN,2018,1_4,One,Four,4,,Treatment,C2,
NAN,2018,1_12,One,Twelve,12,,Treatment,C1,20.23
NAN,2018,1_12,One,Twelve,12,,Treatment,C2,
NAN,2018,1_20,One,Twenty,20,,Treatment,C1,
NAN,2018,1_20,One,Twenty,20,,Treatment,C2,
NAN,2018,4_CC,Four,Caged_Control,0,15.5,Control,C1,21.11
NAN,2018,4_CC,Four,Caged_Control,0,,Control,C2,
NAN,2018,4_4,Four,Four,4,,Treatment,C1,
NAN,2018,4_4,Four,Four,4,14,Treatment,C2,29.5
NAN,2018,4_12,Four,Twelve,12,6.5,Treatment,C1,8.8
NAN,2018,4_12,Four,Twelve,12,,Treatment,C2,
NAN,2018,4_20,Four,Twenty,20,9.5,Treatment,C1,12.48
NAN,2018,4_20,Four,Twenty,20,12.75,Treatment,C2,23.3
PIE,2018,1_CC,One,Caged_Control,0,22,Control,C1,14.44
PIE,2018,1_CC,One,Caged_Control,0,18,Control,C2,12.33
PIE,2018,1_4,One,Four,4,25,Treatment,C1,25.3
PIE,2018,1_4,One,Four,4,20.5,Treatment,C2,11.88
PIE,2018,1_12,One,Twelve,12,,Treatment,C1,14.45
PIE,2018,1_12,One,Twelve,12,21.5,Treatment,C2,11.03
PIE,2018,1_20,One,Twenty,20,17,Treatment,C1,7.26
PIE,2018,1_20,One,Twenty,20,10.5,Treatment,C2,10.73
PIE,2018,4_CC,Four,Caged_Control,0,19.5,Control,C1,11.39
PIE,2018,4_CC,Four,Caged_Control,0,20.5,Control,C2,18.23
PIE,2018,4_4,Four,Four,4,18.5,Treatment,C1,6.63
PIE,2018,4_4,Four,Four,4,19.5,Treatment,C2,11.57
PIE,2018,4_12,Four,Twelve,12,22,Treatment,C1,16.73
PIE,2018,4_12,Four,Twelve,12,19,Treatment,C2,11.11
PIE,2018,4_20,Four,Twenty,20,19.5,Treatment,C1,7.27
PIE,2018,4_20,Four,Twenty,20,21.5,Treatment,C2,13.38
